id;nom;image;description;nb_votes
1;Groupe 1;https://i.ibb.co/6JZBrz4c/Groupe1.jpg;Un belvédère qui s’inspire principalement de la mine en reproduisant un chevalement. Notre belvédère est composé principalement de bois et d’acier. ;0
2;Groupe 2;https://i.ibb.co/8DgrPmq2/Groupe2.png;?;0
3;Groupe 3;https://i.ibb.co/0Rr8Mzjn/Groupe3.jpg;?;0
4;Groupe 4;https://i.ibb.co/KcWykJcY/Groupe4.png;Notre belvédère, nommé La Frégate de Simone, et du haut de ses 7 mètres de haut, est un bateau offrant une illusion donnant l’impression de naviguer sur l’eau. Sa conception rappelle la forme d’un navire et permet aux visiteurs de se sentir comme à bord.;0
5;Groupe 5;https://i.ibb.co/q3NbzmL3/Groupe5.jpg;Notre belvédère est un belvédère en demi-cercle avec un toit. Vu que le projet va être construit on a fait quelque chose de réaliste sans mettre d’escalier de partout etc… On a deux entrées pour les personnes à mobilité réduite. On a fait aussi un toit en verre qui est réalisable et esthétique pour protégé de la pluie.;0
6;Groupe 6;https://i.ibb.co/TDdmmqqg/Groupe6.png;Perché au-dessus de la carrière, ce belvédère offre un point de vue unique sur les profondeurs du site et sur le paysage qui l’entoure. Aménagé pour permettre aux visiteurs de s’arrêter, observer et profiter du panorama, il invite à découvrir la beauté brute de la roche et l’histoire du lieu.;0
7;Groupe 7;https://i.ibb.co/XrVnnRLR/Groupe7.jpg;?;0
8;Groupe 8;https://i.ibb.co/73JDPwd/Groupe8.jpg;Notre groupe Lyl Tyc a conçu la maquette d’un belvédère moderne et écologique, pensé pour offrir un point de vue agréable tout en s’intégrant dans son environnement. La structure est à la fois solide, esthétique et accessible, avec un espace d’observation sécurisé permettant d’admirer le paysage.;0
9;Groupe 9;https://i.ibb.co/4wK9Z1N0/Groupe9.png;?;0
10;Groupe 10;https://i.ibb.co/vvz0NKwZ/Groupe10.jpg;?;0
